Name,Year,Venue,Cls1,Cls2,Platform1,Download_Link1,Platform2,Download_Link2,Needs_Application,Comments,Error,ModelScope_Mirror,GitHub_Repo,GitHub_Stars
Falcon,2025,arXiv,Vision-Language Models,Generative Large VLMs,HuggingFace,https://huggingface.co/TianHuiLab/Falcon-Single-Instruction-Large,,,No,"Paper: https://arxiv.org/abs/2503.11070. Holistic RS vision-language foundation model (0.7B) with a unified prompt-based paradigm supporting 14 tasks, trained on the 78M-sample Falcon_SFT collection and evaluated across 67 datasets. Checkpoints released on both HuggingFace and ModelScope (Falcon-Single-Instruction-Large, Falcon-Multi-Instruction-Large, Falcon-Single-Instruction-Base). ModelScope repos under TianHuiLab (Falcon-Single-Instruction-Base/Large) exist but contain no public files as of 2026-08.",,No,https://github.com/TianHuiLab/Falcon,382
RSGPT,2025,ISPRS,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: https://arxiv.org/abs/2307.15266 (ISPRS J. PERS 2025, https://www.sciencedirect.com/science/article/abs/pii/S0924271625001352). RSGPT is a remote sensing vision-language model for image captioning and VQA, released together with RSICap (2,585 human-annotated captions) and the RSIEval benchmark. Code only, no public weights (repo releases training/testing code). RSICap/RSIEval datasets require filling a Google Form linked in the repo. Note: the official repo is Lavender105/RSGPT as linked in the paper; the previously circulated YuanHu2001/RSGPT no longer exists.",Batch placeholder arXiv:2306.11615 points to an unrelated paper; the correct RSGPT arXiv ID is 2307.15266.,No,https://github.com/Lavender105/RSGPT,150
SkyEyeGPT,2025,ISPRS,Vision-Language Models,Generative Large VLMs,HuggingFace,https://huggingface.co/ZhanYang-nwpu/SkyEyeGPT,,,No,"Paper: https://arxiv.org/abs/2401.09712 (ISPRS J. PERS 2025). SkyEyeGPT unifies remote sensing vision-language tasks via instruction tuning with a large language model: the authors build a manually verified 968k-sample instruction set (SkyEye-968k), align image features into the language space, and use two-step tuning for open-ended image- and region-level tasks. Weight file SkyEyeGPT.pth on HuggingFace; companion SkyEye-968k dataset at https://huggingface.co/datasets/ZhanYang-nwpu/SkyEye-968k.",Batch placeholder arXiv:2401.01075 points to an unrelated paper; the correct SkyEyeGPT arXiv ID is 2401.09712.,No,https://github.com/ZhanYang-nwpu/SkyEyeGPT,139
TEOChat,2025,ICLR,Vision-Language Models,Generative Large VLMs,HuggingFace,https://huggingface.co/jirvin16/TEOChat,,,No,"Paper: https://arxiv.org/abs/2410.06234 (ICLR 2025). First vision-language assistant for temporal Earth observation data, trained on the TEOChatlas instruction dataset for single- and multi-timestamp tasks such as change detection/captioning, damage assessment and temporal scene classification. Weights and the TEOChatlas dataset (https://huggingface.co/datasets/jirvin16/TEOChatlas) are on HuggingFace.",,No,https://github.com/ermongroup/TEOChat,150
Earth-OneVision,2026,arXiv,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: https://arxiv.org/abs/2606.10819. 2B-parameter RS multimodal LLM extending to optical, SAR, infrared, multispectral, temporal and video inputs across nine task areas, using feature-language alignment, spatial-output tokenization and staged cross-modality adaptation, supported by the MMRS-OneVision (~34M-instruction) QA dataset. No code or weights release found on GitHub/HuggingFace/ModelScope.",Model weights not yet released,No,No,
SkyNative,2026,arXiv,Vision-Language Models,Generative Large VLMs,,,,,No,"Paper: https://arxiv.org/abs/2605.17949. Native multimodal RS framework that removes the pretrained visual backbone and encodes raw image patches directly into the autoregressive token sequence with modality-specific parameters; proposes RSME-Bench, which probes image reliance via visual degradation and misleading prompts. No code or weights release found on GitHub/HuggingFace/ModelScope.",Model weights not yet released,No,No,
CastDet,2024,ECCV,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://arxiv.org/abs/2311.11646 (ECCV 2024). CLIP-activated student-teacher framework for open-vocabulary aerial object detection: RemoteCLIP serves as an additional teacher with queue-based reliable pseudo-labeling, achieving e.g. 46.5% mAP on VisDroneZSD novel categories. Code only, no public weights (training relies on the chendelong/RemoteCLIP checkpoint from HuggingFace).",No pretrained weights released (code only),No,https://github.com/VisionXLab/CastDet,85
GeoGround,2024,arXiv,Vision-Language Models,Task-Specific VLMs,HuggingFace,https://huggingface.co/erenzhou/GeoGround,ModelScope,https://modelscope.cn/models/zytx121/geoground,No,"Paper: https://arxiv.org/abs/2411.11904. GeoGround is a unified large vision-language model for remote sensing visual grounding that supports horizontal boxes, oriented boxes, and pixel masks via Text-Mask output with prompt-assisted and geometry-guided learning. LLaVA-based weights (llava-v1.5-7b-task-lora-geoground) run directly with LLaVA; companion dataset refGeo at https://huggingface.co/datasets/erenzhou/refGeo. GitHub repo (zytx121/GeoGround) now redirects to VisionXLab/GeoGround.",,https://modelscope.cn/models/zytx121/geoground,https://github.com/VisionXLab/GeoGround,94
Cross-View OVD,2025,arXiv,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://arxiv.org/abs/2510.03858. Cross-view open-vocabulary object detection in aerial imagery by Kini, Gupta and Shah: transfers ground-level vision-language knowledge to overhead detection by aligning visual embeddings across viewpoints and connecting overhead images with textual concepts, evaluated on multiple public benchmarks. No code or weights release found.",Model weights not yet released,No,No,
EarthMind,2025,arXiv,Vision-Language Models,Task-Specific VLMs,HuggingFace,https://huggingface.co/sy1998/EarthMind-4B,,,No,"Paper: https://arxiv.org/abs/2506.01667 (Shu Yan et al.). EarthMind is the first multi-granular, multi-sensor Earth observation LMM, handling optical (RGB/multispectral) and SAR imagery via hierarchical cross-modal attention; trained on FusionEO and evaluated on the new EarthMind-Bench (10 subtasks: classification, VQA, captioning, segmentation). Weights on HuggingFace: sy1998/EarthMind-4B (finetuned, single-sensor), sy1998/EarthMind4B_multi (multi-sensor), sy1998/EarthMind-Pretrain; training data (sy1998/EarthMind-data) and EarthMind-Bench also released. Official repo is the EOVLMs family repo (EarthMind subfolder).","Batch file listed arXiv 2506.06241, but that ID resolves to an unrelated condensed-matter physics paper; the correct EarthMind arXiv ID is 2506.01667.",No,https://github.com/shuyansy/Earth-Observation-VLMs,138
FASE,2025,CIKM,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://doi.org/10.1145/3746252.3760838 (CIKM 2025). FASE (Feature-Aligned Scene Encoding) constructs scene representations from high-quality captions generated by a specialized VLM; its Feature Alignment Module fuses domain-specific caption embeddings with general text features via dual-branch gated fusion and cross-attention, improving open-vocabulary detection in RS imagery with no extra inference cost.",No public code or model weights released as of 2026-08-24; ACM landing page returned HTTP 403.,No,No,
GeoMag,2025,MM,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://arxiv.org/abs/2507.05887 / https://doi.org/10.1145/3746027.3754559 (ACM MM 2025). GeoMag (Geographical Magnifier) is an end-to-end general-purpose RS VLM that uses Task-driven Multi-granularity Resolution Adjustment and Prompt-guided Semantic-aware Cropping to enhance task-relevant regions and suppress background, improving pixel-level parsing and small-object recognition on 10 benchmarks while reducing computational cost.",No public code or model weights found as of 2026-08-24 (no GitHub repo on author profiles or search).,No,No,
InstructSAM,2025,NeurIPS,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://arxiv.org/abs/2505.15818. InstructSAM is a training-free framework for instruction-oriented remote sensing counting, detection, and segmentation: a large vision-language model parses instructions and estimates counts, SAM2 generates mask proposals, and binary integer programming assigns labels under counting constraints, with a new benchmark. Code only, no public weights (reuses third-party Qwen2.5-VL-7B, SAM2, and RS-CLIP variants from HuggingFace). Benchmark images: DIOR (Google Drive) and NWPU-VHR-10 (OneDrive). Project page: https://voyagerxvoyagerx.github.io/InstructSAM/; repo description notes NeurIPS 2025 acceptance. Accepted at NeurIPS 2025 per the official repo.",,No,https://github.com/VoyagerXvoyagerx/InstructSAM,117
LAE-DINO,2025,AAAI,Vision-Language Models,Task-Specific VLMs,HuggingFace,https://huggingface.co/ML4Sustain/LAE-DINO,ModelScope,https://modelscope.cn/models/ML4Sustain/LAE-DINO,No,"Paper: https://arxiv.org/abs/2408.09110 (AAAI 2025). Introduces the Locate Anything on Earth (LAE) task, builds the LAE-1M pseudo-labeled corpus via automated labeling across multiple datasets, and trains LAE-DINO with batch-adaptive vocabulary and visual-to-semantic prompt enhancement for open-vocabulary detection in Earth observation imagery (DIOR, DOTAv2.0, LAE-80C). Checkpoints (LAE-1M pretrained Swin-T plus DIOR/DOTAv2 fine-tunes) on HuggingFace and ModelScope; companion dataset LAE-1M at https://huggingface.co/datasets/ML4Sustain/LAE-1M and LAE-80C on Google Drive.",,https://modelscope.cn/models/ML4Sustain/LAE-DINO,https://github.com/jaychempan/LAE-DINO,286
LLaMA-Unidetector,2025,TGRS,Vision-Language Models,Task-Specific VLMs,Google Drive,https://drive.google.com/file/d/1AwUn5EebmmLBo7njjW_Ng1q9zDrqkNbB/view,Baidu NetDisk,https://pan.baidu.com/s/1P3pW3euqqxYVZQvw-is1vQ?pwd=1234,No,"Paper: https://doi.org/10.1109/TGRS.2025.3564332 (IEEE TGRS 2025). LLaMA-Unidetector is an LLaMA-based universal framework for open-vocabulary object detection in remote sensing imagery, using a two-stage locate-then-recognize design with a LLaMA-based multimodal recognizer, supported by the TerraVQA benchmark. Localization weights (checkpoint0033_4scale.pth) on Google Drive; recognition-stage 7B weights on Baidu Pan (password 1234).",,No,https://github.com/ChloeeGrace/LLaMA-Unidetector,15
OpenRSD,2025,ICCV,Vision-Language Models,Task-Specific VLMs,Baidu NetDisk,https://pan.baidu.com/s/1sV3GHgneC3dQskIaYABefg?pwd=aan9,,,No,"Paper: https://arxiv.org/abs/2503.06146 (ICCV 2025). OpenRSD handles open/multimodal prompts for oriented and horizontal bounding-box detection in remote sensing images, balancing accuracy and speed with multi-task heads and staged training, reaching 20.8 FPS real-time inference. Weights and dataset on Baidu Pan (password aan9); a lightweight checkpoint with visual/text embeddings is at https://pan.baidu.com/s/1qJJb6NW5DW1hpXpxWOdrOg?pwd=cwy9.",,No,https://github.com/floatingstarZ/OpenRSD,42
RemoteSAM,2025,MM,Vision-Language Models,Task-Specific VLMs,HuggingFace,https://huggingface.co/1e12Leon/RemoteSAM,,,No,"Paper: https://arxiv.org/abs/2505.18022 (ACM MM 2025 oral, DOI 10.1145/3746027.3754950). RemoteSAM uses an automated data engine to build 270K image-text-mask triplets and trains one general-purpose model for recognition, localization, mask prediction, and text grounding without task-specific heads. Weight file RemoteSAMv1.pth on HuggingFace; companion dataset RemoteSAM270k at https://huggingface.co/datasets/1e12Leon/RemoteSAM270k and https://www.modelscope.cn/datasets/e12Leon/RemoteSAM_270K. A third-party derivative (RemoteSAM++, DINOv3+ModernBERT backbone) is at modelscope.cn/models/JuneJayZ/RemoteSAM-plus-plus; it is not a mirror of the official v1 weights.",,No,https://github.com/1e12Leon/RemoteSAM,246
RSVG-ZeroOV,2026,AAAI,Vision-Language Models,Task-Specific VLMs,,,,,No,"Paper: https://arxiv.org/abs/2509.18711. RSVG-ZeroOV is a training-free framework for zero-shot open-vocabulary visual grounding in remote sensing images: a frozen vision-language model associates query terms with image regions, a diffusion prior refines shape/structure, and a refinement step suppresses false responses. Code only, no public weights (training-free; uses third-party Qwen2.5-VL-7B-Instruct and SAM ViT-H). Repo description notes AAAI 2026 acceptance; the authors' extended v2 repo (like413/RSVG-ZeorOV-v2, arXiv 2606.16124) still has TODO placeholder weight links. Accepted at AAAI 2026 per the official repo.",,No,https://github.com/like413/RSVG-ZeroOV,26
UniGeoSeg,2026,CVPR,Vision-Language Models,Task-Specific VLMs,HuggingFace,https://huggingface.co/nishuo1999/UniGeoSeg,,,No,"Paper: https://arxiv.org/abs/2511.23332. UniGeoSeg provides unified instruction-guided open-world segmentation for geospatial scenes via a multi-task framework, a large generated dataset, and an evaluation benchmark, with strong generalization to unseen settings. Model weights (model.safetensors) on HuggingFace; companion dataset GeoSeg-1M on Baidu Pan (https://pan.baidu.com/s/1GldxhdvJqlsI-qyq3Uvqkw, code thxx; HuggingFace version still uploading) and GeoSeg-Bench at https://huggingface.co/datasets/nishuo1999/GeoSeg-Bench. Official repo notes CVPR 2026 acceptance. Accepted at CVPR 2026 per the official repo.",,No,https://github.com/MiliLab/UniGeoSeg,42
GeoLLaVA-8K,2025,NeurIPS,Related RS Models,Ultra-High-Resolution VLMs,HuggingFace,https://huggingface.co/initiacms/GeoLLaVA-8K,,,No,"Paper: https://arxiv.org/abs/2505.21375 (Wang Fengxiang et al.). Scales RS multimodal LLMs to 8K resolution by exploiting low semantic density of RS imagery: Background Token Pruning and Anchored Token Selection reduce token cost while preserving small-object tokens. Introduces SuperRS-VQA (~8376x8378) and HighRS-VQA (~2000x1912) UHR VQA datasets (81,367 SFT pairs, released as HuggingFace initiacms/GeoLLaVA-Data) and reports leading results on XLRS-Bench. Accepted as NeurIPS 2025 Spotlight (batch venue was 'arXiv'). Built on LongVA.",,No,https://github.com/MiliLab/GeoLLaVA-8K,55
Zoom-RS (Look Where It Matters),2025,arXiv,Related RS Models,Ultra-High-Resolution VLMs,,,,,No,"Paper: https://arxiv.org/abs/2511.20460 (Zhou Yunqi et al.). ZoomSearch ('Zoom-RS') is a training-free, plug-and-play pipeline for ultra-high-resolution RS VQA that decouples 'where to look' from 'how to answer' via Adaptive Multi-Branch Zoom Search and Layout-Aware Patch Reassembly; with LLaVA-OneVision it improves 26.3% on LRS-VQA and 114.8% on MME-RealWorld-RS while 20-44% faster than prior search-based methods. Code only, no public weights (the method is training-free and uses off-the-shelf models such as lmms-lab/llava-onevision-qwen2-7b-ov and openbmb/VisRAG-Ret). Project page: https://kiki-zyq.github.io/Zoom-Search/. Evaluated on MME-RealWorld-RS and LRS-VQA.",,No,https://github.com/kiki-zyq/ZoomSearch,27
ZoomEarth,2026,CVPR,Related RS Models,Ultra-High-Resolution VLMs,HuggingFace,https://huggingface.co/HappyBug/ZoomEarth-3B,,,No,"Paper: https://arxiv.org/abs/2511.12267 (Liu Ruixun et al.). ZoomEarth is an active-perception VLM (built on Qwen2.5-VL-3B) for visual reasoning/QA on ultra-high-resolution RS imagery, using an adaptive cropping-zooming framework trained with SFT and GRPO RL; it integrates with downstream tasks (cloud removal, denoising, segmentation, editing). Introduces the LRS-GRO benchmark (global/region/object-level questions; HuggingFace datasets/HappyBug/LRS-GRO). Accepted as CVPR 2026 Highlight (batch venue was 'arXiv'). Project page: https://earth-insights.github.io/ZoomEarth/.",,No,https://github.com/earth-insights/ZoomEarth,45
Earthsynth,2025,arXiv,Related RS Models,Generation Models,HuggingFace,https://huggingface.co/jaychempan/EarthSynth,ModelScope,https://modelscope.cn/models/ML4Sustain/EarthSynth,No,"Paper: https://arxiv.org/abs/2505.12108 (Pan Jiancheng et al.). EarthSynth is a diffusion-based (ControlNet/SD-v1.5) generative foundation model synthesizing multi-category, cross-satellite labeled Earth observation data for downstream interpretation; uses Counterfactual Composition training with 3D batch-sample selection and a rule-based R-Filter, improving scene classification, object detection and semantic segmentation incl. open-vocabulary tasks. Trained on EarthSynth-180K (HuggingFace datasets/jaychempan/EarthSynth-180K), derived from OEM, LoveDA, DeepGlobe, SAMRS and LAE-1M. Model weights on HuggingFace (jaychempan/EarthSynth); training code still TODO ('coming soon'); online demo on ModelScope Studio (ML4Sustain/EarthSynth). Project page: https://jianchengpan.space/projects/EarthSynth/.",,https://modelscope.cn/models/ML4Sustain/EarthSynth,https://github.com/jaychempan/EarthSynth,60
Text2Earth,2025,GRSM,Related RS Models,Generation Models,HuggingFace,https://huggingface.co/lcybuaa/Text2Earth,ModelScope,https://modelscope.cn/models/lcybuaa1111/Text2Earth,No,"Paper: IEEE GRSM 2025, DOI 10.1109/MGRS.2025.3560455 (https://ieeexplore.ieee.org/document/10988859; arXiv:2501.00895). Text2Earth is a 1.3B-parameter diffusion-based generative foundation model for text-driven, resolution-controllable (0.5-128 m) remote sensing image synthesis, editing, unbounded scene construction and cross-modal generation, trained on the Git-10M dataset (10.5M global image-text pairs; HuggingFace datasets/lcybuaa/Git-10M and ModelScope datasets/lcybuaa1111/Git-10M). Also released: Text2Earth-inpainting (HF lcybuaa/Text2Earth-inpainting; ModelScope lcybuaa1111/Text2Earth-inpainting) and the Git-RSCLIP image-text foundation model. Project page: https://chen-yang-liu.github.io/Text2Earth/.",,https://modelscope.cn/models/lcybuaa1111/Text2Earth,https://github.com/Chen-Yang-Liu/Text2Earth,187
CalNet,2023,MM,Perception Models,Object Detection,Baidu NetDisk,https://pan.baidu.com/s/1PnmdKqIxPnTgK6yQ6WfwpA,,,No,"Paper: DOI 10.1145/3581783.3612651 (He Xiao et al., 'Multispectral Object Detection via Cross-Modal Conflict-Aware Learning', ACM MM 2023 Oral, pp. 1465-1474). CALNet addresses semantic conflicts between RGB and IR modalities with a Cross-Modal Conflict Rectification (CCR) module and a Selected Cross-modal Fusion (SCF) module, built into a two-stream one-stage detector evaluated on DroneVehicle. Pre-training weights hosted on Baidu NetDisk (https://pan.baidu.com/s/1PnmdKqIxPnTgK6yQ6WfwpA, password: zvi2); reorganized DroneVehicle labels also on Baidu NetDisk (password: 5sow).",,No,https://github.com/hexiao0275/CALNet-Dronevehicle,68
S2A-Det,2023,TGRS,Perception Models,Object Detection,,,,,No,"Paper: DOI 10.1109/TGRS.2023.3307288 (He Xiao et al., 'Object Detection in Hyperspectral Image via Unified Spectral-Spatial Feature Aggregation', IEEE TGRS 2023; also arXiv:2306.08370). S2ADet is a hyperspectral object detector with a hyperspectral information decoupling (HID) module (band selection + PCA), a two-stream spectral-spatial feature aggregation network and a one-stage detection head. Code only, no public weights: README says S2ADet pretrained weights 'Soon coming' (never released); only generic YOLOv5 pretrained backbones are linked (Google Drive). Companion dataset HOD3K (3,242 hyperspectral images, 3 classes, 16 bands) released on Baidu NetDisk.",Pretrained model weights marked 'Soon coming' in README and still not released (only generic YOLOv5 weights provided).,No,https://github.com/hexiao0275/S2ADet,51
Enhance-then-Search (AugSearch),2025,CVPR,Perception Models,Object Detection,Baidu NetDisk,https://pan.baidu.com/s/17wECMZ7X-wkFMXSCQ_SvAw?pwd=ttue,,,No,"Paper: https://arxiv.org/abs/2504.04517. Enhance-Then-Search uses foundation models for cross-domain few-shot object detection: images are first enhanced to build pseudo-domain pools, then a search finds pseudo-domain configurations that adapt a pretrained detector (Grounding DINO Swin-B) to the scarce target domain; NTIRE 2025 CD-FSOD Challenge winner at CVPR 2025 Workshop. Baidu Pan link hosts model checkpoints (extraction code ttue).",,No,https://github.com/jaychempan/ETS,57
SDCM,2025,TMM,Perception Models,Object Detection,,,,,No,"Paper: DOI 10.1109/TMM.2025.3586155 (He Xiao et al., 'Spectral Discrepancy and Cross-Modal Semantic Consistency Learning for Object Detection in Hyperspectral Images', IEEE TMM 2025). Hyperspectral object detection method exploiting spectral discrepancy and cross-modal semantic consistency. No official GitHub repository, model weights, or dataset release found as of 2026-08-24 (searched author hexiao0275's repos and GitHub; none match).",No public code or model weights released; no official GitHub repository found.,No,No,
Semantic-Aware Ship Detection,2025,IGARSS,Perception Models,Object Detection,,,,,No,"Paper: https://arxiv.org/abs/2508.15930. Proposes a vision-language framework for ship detection in remote sensing imagery that pairs VLMs with a multi-scale adaptive sliding window strategy, and introduces ShipSem-VL for fine-grained ship attribute descriptions (IGARSS 2025). No official code or weights found.",,No,No,
LCMA,2026,Electronics,Perception Models,Object Detection,,,,,No,"Paper: DOI 10.3390/electronics15030498 (He Xiao et al., 'Efficient Layer-Wise Cross-View Calibration and Aggregation for Multispectral Object Detection', Electronics 15(3):498, 2026). LCMA performs layer-wise cross-modality/cross-view calibration and aggregation for RGB-infrared (RGBT) object detection, built as a two-stream rotated OBB detector (yolov5-obb based) evaluated on DroneVehicle-style benchmarks. Code only, no public weights: repo (hexiao0275/LCMA_RGBT) contains training/eval code only, with no pretrained weight links in README. Note: README title ('Cross-Modality ... RGB-Infrared') differs slightly from the published title ('Cross-View ... Multispectral').",,No,https://github.com/hexiao0275/LCMA_RGBT,2
Rethinking Transformers (RS Segmentation),2023,TGRS,Perception Models,Semantic Segmentation,Google Drive,https://drive.google.com/file/d/1yV070cXTrkCN2FTHKM2DIXI_dtVjaTJ6/view,,,No,"Paper: https://doi.org/10.1109/TGRS.2023.3302024. Proposes GLOTS, which rethinks Transformers for remote sensing semantic segmentation using transformer encoding/decoding, multiscale feature fusion, broad- and fine-scale attention, and gradual upsampling for detail recovery. The Google Drive link hosts pretrained backbone weights (placed in the repo's pretrain/ folder); the repo is built on MMSegmentation with BEiT-2/Swin configs.",,No,https://github.com/lyhnsn/GLOTS,17
Multilevel Multimodal Fusion Transformer,2024,TGRS,Perception Models,Semantic Segmentation,,,,,No,"Paper: https://doi.org/10.1109/TGRS.2024.3373033. Proposes FTransUNet, a multilevel multimodal fusion Transformer combining CNN shallow-feature fusion with a Transformer deep-feature fusion stage for remote sensing semantic segmentation. Code only, no public weights (README points to the Google Cloud Storage vit_models bucket for ImageNet-21k ViT backbone pretraining).",,No,https://github.com/yida12345/FTransUNet,1
Diverse Instance Generation (Diffusion),2025,GRSL,Perception Models,Data Augmentation,,,,,No,"Paper: https://arxiv.org/abs/2511.18031. Proposes a diffusion-based augmentation method for few-shot object detection in remote sensing images that synthesizes diverse object instances: instance-level slices are created and inserted into full images, with a class-agnostic inversion module and contrastive learning for semantic alignment. No official code or weights found.",,No,No,
SAN (Scene-aware Aggregation),2023,ICMR,Perception Models,Cross-Modal Retrieval,Baidu NetDisk,https://pan.baidu.com/s/1qDSdcvm6as2rKmAmC_86VA?pwd=86a2,,,No,"Paper: https://doi.org/10.1145/3591106.3592236. Proposes SWAN, a Scene-aware Aggregation Network that reduces semantic confusion in remote sensing cross-modal (image-text) retrieval via scene-aware aggregation (ICMR 2023 oral). The Baidu link hosts ResNet50 backbone weights pretrained on AID; no full SWAN checkpoint is released.",,No,https://github.com/jaychempan/SWAN,37
DOVE (Direction-Oriented Embedding),2024,TGRS,Perception Models,Cross-Modal Retrieval,,,,,No,"Paper: https://doi.org/10.1109/TGRS.2024.3392779 (arXiv:2310.08276). Proposes DOVE, a direction-oriented visual-semantic embedding model for remote sensing image-text retrieval that addresses visual-semantic imbalance via ROAM alignment of image/text embeddings, DTGA for broadening text representation, and a global constraint reducing single-view dependence; evaluated on RSICD and RSITMD. No code or weights released.",,No,No,
PiR (Prior Instruction Representation),2024,arXiv,Perception Models,Cross-Modal Retrieval,Baidu NetDisk,https://pan.baidu.com/s/1urfZ_64DFRelAQz-LYkcCQ?pwd=2v3v,,,No,"Paper: https://arxiv.org/abs/2405.10160. Proposes PIR/PriorCLIP, a visual-prior-guided vision-language model for remote sensing image-text retrieval that uses prior instruction representation with progressive attention encoders (Spatial/Temporal-PAE) and a two-stage prior representation learning strategy to reduce semantic noise and domain shift; evaluated on RSICD and RSITMD. Baidu link hosts model weights (extraction code 2v3v).","Batch arXiv ID 2405.10077 is invalid (it resolves to an unrelated digital-twins paper); the correct ID is arXiv:2405.10160 (v1 titled 'PIR: Remote Sensing Image-Text Retrieval with Prior Instruction Representation Learning', later retitled 'PriorCLIP').",No,https://github.com/jaychempan/PriorCLIP,30
